id,edad,genero,recomendar,es_cliente_habitual,categoria_promocion,oferta_limitada,accesorios,deporte,gastronomía,hogar,hombre,marroquinería,mujer,mujer/hombre,niños/teens,servicios,tecnología,varios
1116,35,Femenino,0,0,gastronomía,1,0,0,0,0,0,1,0,1,0,0,0,1
447,48,Masculino,1,0,varios,1,0,0,0,0,0,0,0,0,0,0,0,1
1349,26,Masculino,0,0,tecnología,1,0,1,1,0,1,1,0,1,1,1,0,0
234,67,Femenino,1,0,marroquinería,1,0,0,0,0,0,1,0,0,1,0,0,0
964,43,Femenino,1,1,tecnología,0,1,1,1,0,1,1,1,1,1,1,1,1
1546,46,Femenino,1,1,tecnología,1,1,1,1,1,1,1,1,1,1,1,0,1
640,77,Femenino,1,0,niños/teens,0,0,1,0,1,1,1,1,1,1,0,0,0
1055,74,Masculino,0,0,hombre,1,0,0,0,1,0,0,0,0,0,0,1,0
538,46,Femenino,1,0,accesorios,1,1,1,1,0,1,1,1,1,1,1,0,1
81,54,Femenino,1,1,accesorios,1,1,0,0,0,0,1,0,0,0,0,0,0
1159,68,Masculino,0,0,hogar,1,0,1,0,0,1,1,1,1,1,0,1,0
830,23,Masculino,1,1,tecnología,1,1,1,1,0,1,0,0,1,0,0,1,0
1509,49,Masculino,1,1,mujer,1,0,0,1,0,0,1,0,0,0,0,1,1
878,39,Femenino,1,0,servicios,1,0,0,0,0,0,0,0,0,0,1,0,0
1403,38,Femenino,0,0,tecnología,1,1,0,0,0,0,1,0,0,0,0,0,0
1130,64,Femenino,0,0,servicios,1,0,1,0,1,1,1,1,0,1,0,0,0
622,61,Masculino,1,0,niños/teens,1,0,0,0,1,1,1,1,0,1,0,0,0
890,72,Femenino,1,0,deporte,1,0,1,0,0,1,1,0,1,0,0,0,0
401,39,Masculino,1,0,varios,1,0,0,0,0,0,0,0,0,0,0,0,1
743,79,Masculino,1,0,deporte,1,0,1,0,0,1,0,0,1,0,0,0,0
98,70,Femenino,1,0,mujer/hombre,1,0,1,0,1,1,1,0,1,1,0,1,0
188,58,Masculino,1,0,servicios,1,1,0,1,1,1,1,1,1,0,1,0,1
782,18,Femenino,1,1,tecnología,1,1,1,0,0,1,0,0,1,0,0,1,0
1028,77,Femenino,0,0,gastronomía,0,0,0,0,0,0,0,0,1,0,0,0,0
1551,47,Femenino,0,0,niños/teens,0,1,1,1,1,1,1,1,1,0,1,1,1
904,51,Femenino,1,0,varios,0,0,0,1,1,1,0,1,0,1,1,0,1
1585,56,Masculino,0,0,marroquinería,1,1,1,1,0,1,0,0,1,1,1,1,1
1766,69,Masculino,0,0,mujer,1,0,1,0,1,1,0,0,1,1,0,1,0
1001,43,Femenino,0,0,mujer,1,1,1,1,0,1,1,0,1,1,1,1,1
1302,45,Femenino,0,0,hombre,1,1,1,1,0,0,0,0,1,1,1,0,1
189,30,Femenino,1,0,accesorios,1,1,0,0,0,0,0,0,0,0,0,0,1
1461,64,Femenino,0,0,hombre,1,0,0,0,1,0,0,1,0,1,0,1,0
851,29,Femenino,1,1,accesorios,0,1,0,0,1,0,1,0,1,0,1,1,0
247,42,Masculino,1,0,hogar,1,0,0,1,1,0,0,0,0,0,0,0,0
1413,56,Femenino,0,0,varios,0,0,0,0,1,0,0,1,0,0,0,1,0
413,47,Masculino,1,0,hombre,1,1,1,0,1,1,1,1,0,1,1,0,1
365,52,Masculino,1,0,marroquinería,1,0,1,0,1,1,1,0,1,1,0,0,1
744,71,Femenino,1,0,marroquinería,1,0,0,0,0,0,1,0,0,0,0,0,0
1514,37,Masculino,0,0,gastronomía,1,0,0,0,1,0,1,1,1,1,0,1,1
